nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled
otterbein,9989,19.21,3795.8,7.3,9989,19.21,3795.8,7.3
overlea,8035,27.8,3828.1,13.25,8035,27.8,3828.1,13.25
panway/braddish avenue,4439,14.85,2731.3,9.13,4439,14.85,2731.3,9.13
park circle,11663,14.1,5963.6,7.21,11663,14.1,5963.6,7.21
parklane,8358,30.28,3387.1,12.27,8358,30.28,3387.1,12.27
parkside,508,2.34,207.5,0.96,508,2.34,207.5,0.96
parkview/woodbrook,10686,15.88,5307.5,7.89,10686,15.88,5307.5,7.89
patterson park,47470,23.49,26134.3,12.93,47470,23.49,26134.3,12.93
patterson park neighborhood,18074,13.7,6246.8,4.74,18074,13.7,6246.8,4.74
patterson place,4755,17.35,1597,5.83,4755,17.35,1597,5.83
pen lucy,2528,9.13,1346.41,4.86,2528,9.13,1346.41,4.86
penn north,5853,11.75,2768.2,5.56,5853,11.75,2768.2,5.56
penn-fallsway,2308,5.53,1325.295,3.18,2308,5.53,1325.295,3.18
penrose/fayette street outreach,8181,10.48,3373.6,4.32,8181,10.48,3373.6,4.32
perkins homes,2774,14.45,1217.5,6.34,2774,14.45,1217.5,6.34
perring loch,10020,11.44,6108.9,6.97,10020,11.44,6108.9,6.97
pimlico good neighbors,4973,18.49,2168.3,8.06,4973,18.49,2168.3,8.06
pleasant view gardens,1175,7.63,518.2,3.36,1175,7.63,518.2,3.36
poppleton,16427,15.44,5631.5,5.29,16427,15.44,5631.5,5.29
port covington,2361,12.43,1151.6,6.06,2361,12.43,1151.6,6.06
pulaski industrial area,12161,11.45,5428.7,5.11,12161,11.45,5428.7,5.11
purnell,249,31.12,70,8.75,249,31.12,70,8.75
radnor-winston,5296,21.18,2932.5,11.73,5296,21.18,2932.5,11.73
ramblewood,8131,12.21,5406.8,8.12,8131,12.21,5406.8,8.12
reisterstown station,5683,17.98,2564.7,8.12,5683,17.98,2564.7,8.12
remington,19750,18.46,7162.3,6.69,19750,18.46,7162.3,6.69
reservoir hill,32941,19.37,14646.8,8.61,32941,19.37,14646.8,8.61
richnor springs,197,11.59,150.4,8.85,197,11.59,150.4,8.85
ridgely's delight,11294,23.73,4978.85,10.46,11294,23.73,4978.85,10.46
riverside,35346,16.61,15275.15,7.18,35346,16.61,15275.15,7.18
rognel heights,8809,15.79,5316.6,9.53,8809,15.79,5316.6,9.53
roland park,104372,30.86,45871.73,13.56,104372,30.86,45871.73,13.56
rosebank,3000,20.55,1680.8,11.51,3000,20.55,1680.8,11.51
rosemont,11558,16.12,5927.8,8.27,11558,16.12,5927.8,8.27
rosemont east,10993,25.57,5260.7,12.23,10993,25.57,5260.7,12.23
rosemont homeowners/tenants,1655,5.91,855.5,3.06,1655,5.91,855.5,3.06
sabina-mattfeldt,5435,28.16,2217.63,11.49,5435,28.16,2217.63,11.49
saint agnes,2373,36.51,1033.8,15.9,2373,36.51,1033.8,15.9
saint helena,678,9.55,369.6,5.21,678,9.55,369.6,5.21
saint josephs,3454,7.73,1838.6,4.11,3454,7.73,1838.6,4.11
saint paul,1015,13.53,334.6,4.46,1015,13.53,334.6,4.46
sandtown-winchester,27585,12.18,11649.8,5.15,27585,12.18,11649.8,5.15
seton business park,3869,29.31,1631.1,12.36,3869,29.31,1631.1,12.36
seton hill,13908,22.32,6861.4,11.01,13908,22.32,6861.4,11.01
sharp-leadenhall,9048,17.74,3444.8,6.75,9048,17.74,3444.8,6.75
shipley hill,6274,11.37,2056.8,3.73,6274,11.37,2056.8,3.73
south baltimore,10014,12.33,3492.5,4.3,10014,12.33,3492.5,4.3
south clifton park,2809,10.64,1226.8,4.65,2809,10.64,1226.8,4.65
spring garden industrial area,718,13.81,251.4,4.83,718,13.81,251.4,4.83
stadium area,2628,19.61,1059.5,7.91,2628,19.61,1059.5,7.91
stonewood-pentwood-winston,2375,16.61,1731.5,12.11,2375,16.61,1731.5,12.11
taylor heights,460,28.75,169.7,10.61,460,28.75,169.7,10.61
ten hills,12737,20.35,6054.9,9.67,12737,20.35,6054.9,9.67
the orchards,9466,20.76,5348.7,11.73,9466,20.76,5348.7,11.73
